"Fund name","Location","Description","Website","LinkedIn","Investment Stage","CB Rank (Organization)","Founded Date","Organization URL","Industries","Total Funding","Number of Investments 2025","Number of Investments 2026","Number of Investments","Number of Lead Investments","Contact Email"," ","","","","","","","","",""
"Meron Capital","Tel Aviv","Meron is an early stage VC fund, investing in strong founders developing core software technologies in Israel, Europe and the US","http://meron.co","https://www.linkedin.com/company/17906188/","Early Stage Venture, Late Stage Venture, Seed, Venture","25 040","2016-12-01","https://www.crunchbase.com/organization/meron-capital","Software, Information Technology, SaaS, Artificial Intelligence (AI), Analytics, Financial Services, Cyber Security, Quality Assurance, Security, Machine Learning","","2","0","40","13","daniel@meron.co"," ","Payments","","","","","","","",""
"Horizon Capital","Tel Aviv","Horizon Capital is an early-stage venture capital firm investing in Israeli-founded startups in SaaS and AI.","http://www.horizoncap.vc","https://www.linkedin.com/company/2597780/","Early Stage Venture, Seed","260 163","2012-12-01","https://www.crunchbase.com/organization/horizon-capitalVC","Software, Artificial Intelligence (AI), SaaS, Information Technology, E-Commerce, Machine Learning, Music, Mobile, CRM, Sales Automation","","4","0","39","10","marketing@horizoncap.vc"," ","Personal Health","","","","","","","",""
"TPY Capital","Tel Aviv","TPY Capital is a Tel Aviv based early state VC that invests in some of Israel’s most talented entrepreneurs.","http://www.tpycapital.com/","https://www.linkedin.com/company/tpycapital/","Early Stage Venture, Seed","37 758","2011-04-05","https://www.crunchbase.com/organization/tpy-capital","Software, Artificial Intelligence (AI), Analytics, Big Data, SaaS, Machine Learning, Information Technology, Marketing, Business Intelligence, Quantum Computing","","1","0","37","16","info@tpycapital.com"," ","Pharmaceutical","","","","","","","",""
"eHealth Ventures","Tel Aviv","eHealth Ventures is a consortium conceived to provide incubation services to promising early-stage healthcare technology companies.","http://www.ehealthventures.com","https://www.linkedin.com/company/ehealth-ventures-llc/","Early Stage Venture, Seed","48 951","2014-01-01","https://www.crunchbase.com/organization/ehealth-ventures","Health Care, Health Diagnostics, Artificial Intelligence (AI), Medical Device, Biotechnology, Software, Machine Learning, Personal Health, Big Data, Nanotechnology","","0","0","37","12","info@ehealthventures.com"," ","Productivity Tools","","","","","","","",""
"Red Dot Capital Partners","Savyon","Red Dot Capital Partners is a growth stage fund focused on Israeli related tech companies","http://www.red-dot.capital/","https://www.linkedin.com/company/red-dot-capital-partners/","Early Stage Venture, Late Stage Venture","3 391","2016-02-01","https://www.crunchbase.com/organization/red-dot-capital-partners","Information Technology, Software, Cyber Security, Artificial Intelligence (AI), Security, Machine Learning, Network Security, SaaS, Risk Management, Compliance","$1 658 500 000","7","1","36","22","office@red-dot.capital"," ","Real Estate","","","","","","","",""
"HiCenter Ventures","Haifa","The Technology Entrepreneurship and Investment Center in Haifa, Israel","http://www.hicenter.co.il/","https://www.linkedin.com/company/hicenter---haifa-business-accelerator/?viewAsMember=true","Early Stage Venture, Grant, Seed","284 899","2008-01-01","https://www.crunchbase.com/organization/hicenter","-","","","","36","1","office@hicenter.co.il"," ","Recruiting","","","","","","","",""
"Maverick Ventures Israel","Tel Aviv","Maverick Ventures, an Israeli company, provides financial and operational support which is backed by individual investors.","http://www.maverick.vc","https://www.linkedin.com/company/3542636","Early Stage Venture, Late Stage Venture, Seed, Venture","330 163","2013-01-01","https://www.crunchbase.com/organization/maverick-ventures-israel","-","","","","35","8","-"," ","Renewable Energy","","","","","","","",""
"Axess Ventures","Herzliya","AxessVentures is an online investment club combining the seriousness and professionalism of Venture Capital","https://axessventures.com/","https://www.linkedin.com/company/axessventures/","Crowdfunding, Early Stage Venture","768 186","2016-01-01","https://www.crunchbase.com/organization/axess-ventures","-","","","","35","","-"," ","Retail","","","","","","","",""
"ATOORO FUND","Tel Aviv","An Israeli investment family fund that targets to support innovative entrepreneurs and assist them in building great global companies.","http://www.atooro.com","https://www.linkedin.com/company/atooro-fund/","Early Stage Venture, Seed","3 543 706","2015-03-15","https://www.crunchbase.com/organization/atooro-fund","-","","","","35","8","ideas@atooro.com"," ","Robotics","","","","","","","",""
"10D","Tel Aviv","10D is a venture capital firm that seeks to invest in early-stage Seed and Series A rounds in digital health and fintech startups.","https://www.10d.vc","https://www.linkedin.com/company/10dvc","Early Stage Venture","7 979","2018-01-01","https://www.crunchbase.com/organization/ofek-venture-fund","-","$915 901 000","","","34","13","pitch@10d.vc"," ","SaaS","","","","","","","",""
"Viola FinTech","Herzliya","Viola FinTech is a cross-stage venture fund that invests in global fintech companies alongside venture investors.","https://www.viola-group.com/fund/violafintech","https://www.linkedin.com/company/violafintech","Early Stage Venture, Late Stage Venture, Seed, Venture","51 529","2017-01-01","https://www.crunchbase.com/organization/viola-fintech","-","$905 532 000","","","34","14","info@viola-group.com"," ","Security","","","","","","","",""
"fresh.fund","Tel Aviv","fresh.fund is a pre-seed venture capital fund that invests in Israeli startups across verticals and segments","http://www.fresh.fund","https://www.linkedin.com/company/fresh.fund/","Early Stage Venture, Seed","99 614","2019-01-01","https://www.crunchbase.com/organization/fresh-fund","-","","","","34","5","hi@fresh.fund"," ","Semiconductor","","","","","","","",""
"Collider","Tel Aviv","Collider work alongside startups that are focused on building disruptive technologies, services & products, globally.","https://www.collider.vc/","https://www.linkedin.com/company/colliderventures/","Early Stage Venture, Seed, Venture","17 587","2018-01-01","https://www.crunchbase.com/organization/collider-ventures","-","","","","33","4","invest@collider.vc"," ","Social Media","","","","","","","",""
"Gefen Capital","Herzliya","Gefen Capital is a US Israeli VC","http://www.gefencapital.com/","https://www.linkedin.com/company/gefen-capital/","Early Stage Venture, Private Equity, Seed, Venture","307 189","2017-01-01","https://www.crunchbase.com/organization/gefen-capital","-","","","","33","1","-"," ","Software","","","","","","","",""
"ClalTech","Tel Aviv","Claltech is an investment firm that focuses on the segments of the internet, e-commerce, and financial technology industry.","http://claltech.com","https://www.linkedin.com/company/claltech","Early Stage Venture, Late Stage Venture","220 713","2014-01-01","https://www.crunchbase.com/organization/claltech","-","","","","32","5","-"," ","Telecommunications","","","","","","","",""
"Greenfield Partners","Tel Aviv","Greenfield Partners is a TPG Growth investment platform focused on tech-enabled businesses.","https://www.greenfield-growth.com/","https://www.linkedin.com/company/greenfieldlp/","Early Stage Venture, Late Stage Venture, Venture","5 329","2016-01-01","https://www.crunchbase.com/organization/greenfield-partners","Software, Artificial Intelligence (AI), Cyber Security, Information Technology, Network Security, SaaS, Enterprise Software, Cloud Security, Telecommunications, Manufacturing","$2 063 000 000","8","2","31","15","contact@greenfieldlp.com"," ","Therapeutics","","","","","","","",""
"Israel Growth Partners","Herzliya","Israel Growth Partners is a technology growth fund, investing in Israel-related tech companies at growth and late-stage.","http://www.igpcapital.com","http://www.linkedin.com/company/israel-growth-partners","Early Stage Venture, Late Stage Venture, Venture","43 861","2014-01-01","https://www.crunchbase.com/organization/israel-growth-partners","-","","","","31","22","efrat@igpcapital.com"," ","Transportation","","","","","","","",""
"SeedIL Ventures","Herzliya","SeedIL Ventures invests in seed stage Israeli start-ups.","http://www.seedil.com","https://www.linkedin.com/company/seedil/","Early Stage Venture, Seed","80 756","2014-01-01","https://www.crunchbase.com/organization/seedil-investment-club","-","","","","31","","info@seedil.com"," ","Video","","","","","","","",""
"PLUS Ventures","Ramat Gan","Plus Ventures is a multi-stage investment firm specializing in early-stage growth technology and media companies.","http://plusventures.co.il","http://www.linkedin.com/company/2952689","Early Stage Venture, Seed","446 520","2007-01-01","https://www.crunchbase.com/organization/plus-ventures","-","","","","30","3","office@plusventures.co.il"," ","Wellness","","","","","","","",""
"The Challenge Fund","Tel Aviv","The Challenge Fund are two Delaware limited partnerships focused on equity investments in Israel-related privately held and publicly","http://www.challenge.co.il","https://www.linkedin.com/company/the-challenge-fund-edgar-lp/about/","Early Stage Venture, Late Stage Venture","1 019 335","1995-01-01","https://www.crunchbase.com/organization/the-challenge-funds","-","","","","30","2","etgar@challenge.co.il"," ","Wireless","","","","","","","",""
"Amiti Ventures","Tel Aviv","Founded in 2010, Amiti is an Israeli early stage VC firm. Amiti’s Partners seeded and helped scale Israel's best tech teams.","http://www.amiti.vc","https://www.linkedin.com/company/amiti","Early Stage Venture, Late Stage Venture, Seed, Venture","43 639","2010-01-01","https://www.crunchbase.com/organization/amiti-ventures","-","","","","29","9","info@amitivc.com"," ","","","","","","","","",""
"Yozma Group","Tel Aviv","The Yozma Group is a venture capital firm specializing in investments in all stages of development of a company.","http://www.yozma.com/home/","https://www.linkedin.com/company/theyozmagroup/","Early Stage Venture, Late Stage Venture","308 433","1993-01-01","https://www.crunchbase.com/organization/yozma-group","-","","","","29","9","mail@yozma.com"," ","","","","","","","","",""
"Jerusalem Global Ventures","Jerusalem","Jerusalem Global Ventures is an investment firm.","http://www.jgv.com","https://www.linkedin.com/company/jerusalem-global-ventures","Early Stage Venture, Late Stage Venture","470 379","1999-01-01","https://www.crunchbase.com/organization/jerusalem-global-ventures","-","","","","29","8","info@jgv.com"," ","","","","","","","","",""
"DFJ TelAviv Venture Partners","Tel Aviv","DFJ TelAviv Venture Partners is a venture capital group in Israel with a proven track record, solid partnerships and over $200 million","http://www.dfjtelaviv.com/","https://www.linkedin.com/company/dfj-tamir-fishman-ventures/","Early Stage Venture, Late Stage Venture, Seed","641 137","1997-01-01","https://www.crunchbase.com/organization/dfj-tamir-fishman-ventures","-","","","","29","9","info@dfjtamirfishman.com"," ","","","","","","","","",""
"Kaedan Capital","Tel Aviv","Kaedan Capital is a private investment firm engaged in seed to early stage ventures.","http://www.kaedan.com","http://www.linkedin.com/company/kaedan-capital","Early Stage Venture, Seed","325 172","2001-01-01","https://www.crunchbase.com/organization/kaedan-capital-group","-","","","","28","3","contact@kaedan.com"," ","","","","","","","","",""
"Hyperwise Ventures","Tel Aviv","Groundbreaking technology meets business execution","http://hyperwise.vc","https://www.linkedin.com/company/hyperwise-ventures","Early Stage Venture, Seed","18 525","2020-01-01","https://www.crunchbase.com/organization/hyperwise-ventures","-","","","","26","13","info@hyperwise.vc"," ","","","","","","","","",""
"Secret Chord Ventures","Tel Aviv","Israel-based early-stage venture firm investing in exceptional entrepreneurs who seek to build category-defining companies.","https://www.secretchord.vc/","https://www.linkedin.com/company/secret-chord-ventures/","Early Stage Venture, Seed","57 171","2022-01-01","https://www.crunchbase.com/organization/secret-chord-ventures","-","","","","26","6","info@secretchord.vc"," ","","","","","","","","",""
"Matias Ventures","Herzliya","Investing in early stage startups, led by Yossi Matias (VP Search, AI @ Google) and Michael Matias (Stanford CS, 8200).","-","https://www.linkedin.com/company/matias-ventures","Early Stage Venture","394 196","2020-01-01","https://www.crunchbase.com/organization/matias-ventures","-","","","","26","","michael@matias.vc"," ","","","","","","","","",""
"AnD Ventures","Tel Aviv","AnD Ventures is a venture capital firm that invests in early-stage startups in the information technology sector.","https://www.and-ventures.com","https://www.linkedin.com/company/and-ventures","Early Stage Venture, Seed","7 733","2020-03-01","https://www.crunchbase.com/organization/and-ventures","Software, Artificial Intelligence (AI), Information Technology, Security, Gaming, SaaS, Machine Learning, Military, Media and Entertainment, Law Enforcement","$135 200 000","8","2","25","6","info@and-ventures.com"," ","","","","","","","","",""
"Jumpspeed Ventures","Jerusalem","Jumpspeed is a venture capital fund based in Jerusalem, the Capital of the Start-up Nation.","http://www.jumpspeed.vc","https://www.linkedin.com/company-beta/4984501","Early Stage Venture, Seed","41 934","2013-10-31","https://www.crunchbase.com/organization/jumpspeed-ventures","","","","","25","4","info@jumpspeed.vc"," ","","","","","","","","",""
"Wellborn Ventures","Tel Aviv","Venture Capital is a venture capital firm in Israel that does seed and early stage venture investments.","http://www.wellbornvc.com","-","Early Stage Venture, Private Equity, Seed","418 968","2014-01-01","https://www.crunchbase.com/organization/wellborn-ventures-2","","","","","25","1","office@wellbornvc.com"," ","","","","","","","","",""
"South Israel Bridging Fund","Be'er Sheva","South Israel Bridging Fund is a venture capital firm.","https://sibf.vc/","https://www.linkedin.com/company/sibf-vc/about/","Early Stage Venture","79 500","2019-01-01","https://www.crunchbase.com/organization/south-israel-bridging-fund","","","","","24","7","omri.doppelt@sibf.vc"," ","","","","","","","","",""
"Arkin Bio Ventures","Herzliya","Arkin Holdings is dedicated to empowering companies that create breakthrough pharma, biotech and medical device technologies.","https://www.arkinholdings.com/healthcare-investments/pharma-and-biotech","https://www.linkedin.com/company/arkin-holdings/","Early Stage Venture, Late Stage Venture, Seed","314 012","2016-01-01","https://www.crunchbase.com/organization/arkin-bio-ventures","","","","","24","3","-"," ","","","","","","","","",""
"Disruptive Technologies Venture Capital","Herzliya","Disruptive is a global early stage investor with operations in Israel and the US","http://www.disruptivevc.com/","https://www.linkedin.com/company-beta/17996810/","Early Stage Venture, Post-Ipo, Seed","339 932","2014-01-01","https://www.crunchbase.com/organization/disrupt-ive","","","","","24","4","info@disruptivevc.com"," ","","","","","","","","",""
"Delta Ventures","Glil Yam","Delta Ventures is a venture capital seed fund that invests in innovative technology start-up companies primarily within Israel.","http://www.delta-ventures.com","-","Early Stage Venture, Late Stage Venture","500 266","1999-01-01","https://www.crunchbase.com/organization/delta-ventures","","","","","24","2","info@delta-ventures.com"," ","","","","","","","","",""
"Landa Ventures","Ramat Gan","Landa Ventures is a venture capital arm of Landa Corporation specializing in seed and startup investments.","http://www.landaventures.com/","-","Early Stage Venture","700 023","2003-01-01","https://www.crunchbase.com/organization/landa-ventures","","","","","24","2","-"," ","","","","","","","","",""
"Docor International Management","Tel Aviv","Docor International B.V. is a fully-owned subsidiary of Crecor B.V. Both Docor and Crecor were formed as wholly-owned subsidiaries of the","https://www.docor.co.il/","-","Early Stage Venture, Late Stage Venture, Private Equity","719 179","","https://www.crunchbase.com/organization/docor-international-management","","","","","24","1","info@docor.com"," ","","","","","","","","",""
"Mensch Capital Partners","Tel Aviv","Early-stage venture capital investment firm focused on Pre-Seed and Seed investments.","https://www.menschvc.com/","https://www.linkedin.com/company/menschvc/","Early Stage Venture, Seed","225 376","2021-01-01","https://www.crunchbase.com/organization/mensch-capital-partners","","","","","23","10","mensch@menschvc.com"," ","","","","","","","","",""
"Clal Biotechnology Industries","Tel Aviv","Clal Biotechnology Industries is a life sciences investment company.","http://www.cbi.co.il","https://www.linkedin.com/company/clal-biotechnology-industries/","Early Stage Venture, Late Stage Venture, Venture","3 090 254","1998-01-01","https://www.crunchbase.com/organization/clal-biotechnology","","","","","23","4","gonen@cbi.co.il"," ","","","","","","","","",""
"FinTLV Ventures","Tel Aviv","FinTLV is an Insurtech VC company that provides financial services.","http://www.fintlv.com","https://www.linkedin.com/company/fintlv","Early Stage Venture, Late Stage Venture, Seed, Venture","37 558","2018-06-30","https://www.crunchbase.com/organization/fintlv-ventures","","","","","22","7","info@fintlv.com"," ","","","","","","","","",""
"XT Venture Capital","Tel Aviv","XT is among the first investors in Israeli startups. Focusing on early-growth companies with the potential to become category leaders.","http://xtv.vc/","https://www.linkedin.com/company/xt-hi-tech","Early Stage Venture, Late Stage Venture, Seed","218 868","1997-01-01","https://www.crunchbase.com/organization/xt-hi-tech","","","","","22","9","hitech@xtholdings.com"," ","","","","","","","","",""
"Iron Nation","Tel Aviv","Dedicated to the long-term strength of the Israeli economy, Iron Nation is a collaborative ecosystem fund achieving significant returns.","https://www.ironnation.org","https://www.linkedin.com/company/ironnation/","Venture","266 275","2023-11-01","https://www.crunchbase.com/organization/iron-nation","","","","","22","","contact@ironnation.org"," ","","","","","","","","",""
"Remagine Ventures","Tel Aviv","Remagine Ventures is an early stage venture capital investing at the intersection of tech, entertainment, data and commerce.","http://www.remagineventures.com","https://www.linkedin.com/company/18302596/","Early Stage Venture, Late Stage Venture, Seed, Venture","48 768","2018-10-01","https://www.crunchbase.com/organization/remagine-ventures","","","","","21","4","Eze@remagineventures.com"," ","","","","","","","","",""
"IBI Tech Fund","Tel Aviv","IBI Tech Fund is an Israeli fund investing in early-stage outstanding startups.","https://tech.ibi.co.il/","https://www.linkedin.com/company/ibi-tech-fund/","Early Stage Venture","303 527","2018-06-01","https://www.crunchbase.com/organization/ibi-tech-fund","","","","","21","9","-"," ","","","","","","","","",""
"Champel Capital","Jerusalem","Champel Capital is a venture capital fund, investing in Israeli startups","https://champelcapital.com/","https://www.linkedin.com/company/champel-capital/","Early Stage Venture, Seed, Venture","180 043","2017-07-01","https://www.crunchbase.com/organization/champel-capital","","","","","20","5","info@champelcapital.com"," ","","","","","","","","",""
"theDOCK","Haifa","A vertical VC firm investing in startups addressing major challenges in Maritime, Supply Chain, and Offshore sectors","https://www.thedockinnovation.com/","https://www.linkedin.com/company/thedock-innovation-hub/","Early Stage Venture, Seed, Venture","251 283","2017-01-01","https://www.crunchbase.com/organization/thedock-innovation-hub","","","","","20","3","office@thedockinnovation.com"," ","","","","","","","","",""
"Journey Ventures","Tel Aviv","Journey Ventures develops portfolios for tourism companies.","http://www.journeyventures.com/","https://www.linkedin.com/company/journey-ventures/","Convertible Note, Early Stage Venture, Late Stage Venture, Seed, Venture","358 544","2019-01-01","https://www.crunchbase.com/organization/journey-ventures-9e28","","","","","20","6","-"," ","","","","","","","","",""
"Bridges Israel","Glil Yam","Bridges Israel is an impact investment fund.","https://bridgesisrael.com/","https://www.linkedin.com/company/bridges-israel/","Early Stage Venture, Late Stage Venture","672 505","2002-01-01","https://www.crunchbase.com/organization/bridges-israel","","","","","20","8","-"," ","","","","","","","","",""
"ProSeed Venture Capital Fund","Tel Aviv","Proseed Venture Capital Fund specializes in seed, startup, early stage, bridge financing, and PIPE investments.","http://www.proseed.co.il","https://www.linkedin.com/company/proseed-venture-capital-fund-ltd-","Debt, Early Stage Venture, Late Stage Venture","746 656","2000-04-01","https://www.crunchbase.com/organization/proseed-venture-capital-fund","","","","","20","3","admi@proseed.co.il"," ","","","","","","","","",""
"Polaris Venture Capital","Tel Aviv","PVC is committed to building successful enterprises through value-added partnerships with promising technology companies.","http://www.polarisvc.com","-","-","790 739","","https://www.crunchbase.com/organization/polaris-venture-capital","","","","","20","2","-"," ","","","","","","","","",""
"Eurofund","Tel Aviv","Eurofund is a venture capital fund with a strongly defined identity and distinct areas of operation, established in alliance with powerful","http://www.eurofund.co.il","-","Early Stage Venture, Late Stage Venture, Seed","2 146 758","","https://www.crunchbase.com/organization/eurofund","","","","","20","6","info@eurofund.co.il"," ","","","","","","","","",""
"vgames","Tel Aviv","vgames is the venture fund for game entrepreneurs.","https://www.vgames.vc/","https://www.linkedin.com/company/vgamesil/","Early Stage Venture, Seed","21 341","2020-01-01","https://www.crunchbase.com/organization/vgames","","","","","19","9","-"," ","","","","","","","","",""
"Proxima Ventures Ltd","Tel Aviv","Proxima Investments specializes in the management of investment portfolios for a variety of clients in Israel and abroad.","http://www.proximaventures.com","-","Early Stage Venture, Seed","336 110","","https://www.crunchbase.com/organization/proxima","","","","","19","6","-"," ","","","","","","","","",""
"NextLeap Ventures","Herzliya","NextLeap Ventures is an investment firm","https://nextleapventures.com/","https://www.linkedin.com/company/nextleap-ventures","Early Stage Venture, Seed, Venture","336 999","2017-01-01","https://www.crunchbase.com/organization/nextleap-ventures","","","","","19","4","-"," ","","","","","","","","",""
"HIGHROAD","Azor","Highroad invests in extraordinary early-stage startups developing innovative technologies and products that can truly impact people’s lives.","https://highroad.center","https://www.linkedin.com/company/highroad-innovation/","Early Stage Venture, Seed","838 262","2018-04-01","https://www.crunchbase.com/organization/highroad","","","","","19","1","contact@highroad.center"," ","","","","","","","","",""
"Veritas Venture Partners","Ra'anana","Veritas is dedicated to providing entrepreneurs with a fast and discreet reply. They try to be responsive to what is often the","http://www.veritasvc.com","https://www.linkedin.com/company/veritas-venture-partners","Early Stage Venture, Late Stage Venture","940 201","1990-01-01","https://www.crunchbase.com/organization/veritas-venture-partners","","","","","19","1","baruch@tmura.org"," ","","","","","","","","",""
"Medica Venture Partners","Herzliya","Medica Venture Partners is a globally operating health care and life sciences venture capital fund investing in Israel, Europe and the","http://www.medicavp.com","https://www.linkedin.com/company/medica-venture-partners/","Early Stage Venture, Late Stage Venture","1 014 033","1995-01-01","https://www.crunchbase.com/organization/medica-venture-partners","","","","","19","2","medica@medicavp.com"," ","","","","","","","","",""
"Good Company","Tel Aviv","Good Company Fund is investing in early-stage companies that leverage deep technologies to solve the world’s biggest problems.","https://gc-vc.com","https://www.linkedin.com/company/good-company-studio-fund","Early Stage Venture, Seed","59 866","2019-01-01","https://www.crunchbase.com/organization/good-company-9f3d","","","","","18","3","contact@gc-vc.com"," ","","","","","","","","",""
"M-Fund Club","Gan Shemu'el","M-Fund Club is a boutique private investors club, reinventing the VC model, and applying unconventional scouring methodology.","https://www.mfundvc.com/","https://www.linkedin.com/company/m-fund-club","Early Stage Venture","397 089","2019-03-01","https://www.crunchbase.com/organization/m-fund-club","","","","","18","4","-"," ","","","","","","","","",""
"Discount Capital","Tel Aviv","Discount Capital is Discount Group’s investments & investment banking arm.","http://www.dcapital.co.il/","https://www.linkedin.com/company/discount-capital-markets/","Debt, Early Stage Venture, Post-Ipo, Private Equity, Secondary Market, Seed","451 491","1992-01-01","https://www.crunchbase.com/organization/mercantile-discount-bank","","","","","18","4","-"," ","","","","","","","","",""
"Agate Medical Investments","Tel Aviv","Agate Medical Investments LP specializes in mid venture; late stage; and buyout investments in mature companies.","http://www.agate-invest.com","https://www.linkedin.com/company/agate-medical-investment-group/","Early Stage Venture, Late Stage Venture","604 477","2007-01-01","https://www.crunchbase.com/organization/agate-medical-investments","","","","","18","2","-"," ","","","","","","","","",""
"Clal Industries","Tel Aviv","Clal Industries is engaged in the establishment, acquisition, and development of companies in various industries.","http://clalindustries.com","https://www.linkedin.com/company/clal-industries/about/","Early Stage Venture, Late Stage Venture, Private Equity","666 464","1956-01-01","https://www.crunchbase.com/organization/clal-industries-and-investments-cii","","","","","18","1","-"," ","","","","","","","","",""
"ION Crossover Partners","Herzliya","ION Crossover Partners focuses on founders with growth aspirations and businesses with untapped growth potential.","https://www.ion-am.com/ioncrossoverpartners","https://www.linkedin.com/company/ion-asset-management","Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity","36 871","2018-01-01","https://www.crunchbase.com/organization/ion-crossover-partners","","","","","17","8","-"," ","","","","","","","","",""
"Benson Oak Ventures","Herzliya","Benson Oak Ventures is a buy-out and growth equity investment firm that provides financial support to small and mid-size enterprises.","http://www.bensonoakventures.com","https://www.linkedin.com/company/bensonoak","Early Stage Venture, Late Stage Venture, Seed","77 623","2001-01-01","https://www.crunchbase.com/organization/benson-oak-capital","","","","","17","9","hello@bensonoak.com"," ","","","","","","","","",""
"ZORA Ventures","Herzliya","ZORA Ventures backs Israel's leading scientists and founders designing deeptech B2B solutions to the world's most acute climate challenges.","http://www.zora.vc","https://www.linkedin.com/company/zora/","Convertible Note, Early Stage Venture, Late Stage Venture, Seed, Venture","292 821","2016-06-01","https://www.crunchbase.com/organization/zora-ventures","","","","","17","1","elsa@zora.vc"," ","","","","","","","","",""
"Sphera Funds Management","Tel Aviv","Sphera Funds Management is an Israeli based fund manager, established in December 2003. The Fund is specializing in long-short equity","http://www.spherafund.com","https://www.linkedin.com/company/sphera-global-healthcare-fund","Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity","377 389","2004-01-01","https://www.crunchbase.com/organization/sphera-funds-management","","","","","17","2","Investorsrelations@spherafund.com"," ","","","","","","","","",""
"Taya Ventures","Ramat Gan","A seed-stage venture fund that will offer entrepreneurs guidance, knowledge and access to Taya Media’s professional network.","http://tayaventures.com/","https://www.linkedin.com/company/taya-ventures/","Seed, Venture","504 288","2015-01-01","https://www.crunchbase.com/organization/taya-ventures","","","","","17","5","ofri@unik.co.il"," ","","","","","","","","",""
"North First Ventures","Tel Aviv","North First Ventures is a Venture Capital Fund, partnering with seed to round A stage companies that harness innovative technologies.","http://www.n1v.com","https://www.linkedin.com/company/n1v/","Early Stage Venture, Seed","612 000","2017-08-01","https://www.crunchbase.com/organization/north-first-ventures","","","","","17","4","info@n1v.com"," ","","","","","","","","",""
"Ascend Technology Ventures","Ramat Gan","Established in mid-1999, Ascend Technology Ventures is an Israel-based venture capital fund with $100 million of smart, well-connected","http://www.ascendvc.com","-","Early Stage Venture, Late Stage Venture","3 726 963","","https://www.crunchbase.com/organization/ascend-technology-ventures","","","","","17","1","office@ascendvc.com"," ","","","","","","","","",""
"Cubit Investments","Ramat Gan","Cubit Investments is a venture capital firm specialized in incubation, seed-, and early-stage venture investments.","http://www.guygamzu.com","https://www.linkedin.com/in/guygamzu/","Early Stage Venture, Late Stage Venture","4 137 649","1998-01-01","https://www.crunchbase.com/organization/cubit-investments","","","","","17","1","-"," ","","","","","","","","",""
"OTV","Tel Aviv","OTV is a global digital health venture capital fund with offices in Tel Aviv, Israel and New York","http://www.otv.vc","https://www.linkedin.com/company/olive-tree-ventures","Early Stage Venture, Late Stage Venture, Seed, Venture","57 367","2015-01-01","https://www.crunchbase.com/organization/olive-tree-ventures","","","","","16","12","info@olivetree.vc"," ","","","","","","","","",""
"Disruptive AI Venture Capital","Herzliya","Disruptive AI Venture Capital is an AI-focused Venture Capital, brings a unique advantage to early-stage startups, aiming high with AI.","http://www.disruptiveai.fund/","https://www.linkedin.com/company/disruptiveai-venture-capital/","Early Stage Venture","205 059","2020-01-01","https://www.crunchbase.com/organization/disruptive-ai-venture-capital","","","","","16","7","info@disruptiveai.fund"," ","","","","","","","","",""
"Spring Ventures","Tel Aviv","Spring Ventures is a multi-stage technology-based private equity firm, led by Aviv Refuah, one of the first Tech entrepreneurs in Israel.","http://www.springv.com","https://www.linkedin.com/company/spring-v","Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity","427 867","1999-01-01","https://www.crunchbase.com/organization/spring-ventures-2","","","","","16","8","-"," ","","","","","","","","",""
"Aviv Venture Capital","Petah Tiqva","Aviv Venture Capital invests in mid-stage technology companies and is an Israeli venture capital firm.","http://www.avivvc.com","https://www.linkedin.com/company/484809/","Early Stage Venture, Seed","730 421","2001-01-01","https://www.crunchbase.com/organization/aviv-venture-capital","","","","","16","2","pr@scalemp.com"," ","","","","","","","","",""
"Canaan Partners Israel","Herzliya","Canaan Partners Israel is a venture capital fund focused on early stage technology investments in Israel.","https://www.canaanil.com/","-","Early Stage Venture","806 525","2014-01-01","https://www.crunchbase.com/organization/canaan-partnersisrael","","","","","16","8","info-IL@canaan.com"," ","","","","","","","","",""
"Formula Ventures","Herzliya","Formula Ventures focuses on investments in early stage Israel-related Information Technology start-ups.","http://www.formulaventures.com","-","Early Stage Venture","1 347 300","1998-01-01","https://www.crunchbase.com/organization/formula-ventures","","","","","16","2","startup@formulaventures.com"," ","","","","","","","","",""
"Tamir Fishman","Herzliya","Tamir Fishmen Venture Capital (TFV) is a one of Israel’s top venture capital funds.","http://www.tamirfishman.co.il/","-","-","1 856 160","1997-01-01","https://www.crunchbase.com/organization/tamir-fishman-ventures","","","","","16","4","-"," ","","","","","","","","",""
"Crescendo Venture Partners","Tel Aviv","Venture Capital Investment fund based at the heart of Tel Aviv focusing on investments ranging from Pre-Seed to Series B","https://www.cr-vp.com/","https://www.linkedin.com/company/crvp","Early Stage Venture, Seed","45 345","2019-01-01","https://www.crunchbase.com/organization/crecendo-venture-partners","","","","","15","4","tal@cr-vp.com"," ","","","","","","","","",""
"TechAviv Founder Partners","Tel Aviv","TechAviv Founder Partners is a pre-seed venture fund backed and powered by 150 of the world’s most successful company builders.","https://techaviv.com/fund","https://www.linkedin.com/company/techaviv","Early Stage Venture, Seed, Venture","55 417","2020-07-31","https://www.crunchbase.com/organization/techaviv-founder-partners","","","","","15","3","hello@techaviv.com"," ","","","","","","","","",""
